PK,Tool,Article Title,Article Author(s),Issue,Pages,Year,Context Discussed In,Relationship to Subject,Purpose of Article,FK,Notes
36,FORTRAN,n/a,New Courses Established,3.5,270-271,1969,Using tools in scholarship,Instrumental,Computer-assisted research,9,"Details a course in computer techniques for humanists, with an emphasis on writing FORTRAN programs."
37,ALGOL,n/a,New Courses Established,3.5,270-271,1969,Using tools in scholarship,Instrumental,Computer-assisted research,18,"Details a course of interest to humanists, on non-numerical programming in ALGOL including language translation. "
38,CETA,Robert R. Dyer,The New Philology: An Old Discipline or a New Science?,4.1,53-64,1969,Using tools in scholarship,Mentioned,Computer-assisted research,19,Article cites CETA as a program used to parse Russian text.
39,MITRE Syntactic Analysis Procedure,Robert R. Dyer,The New Philology: An Old Discipline or a New Science?,4.1,53-64,1969,Using tools in scholarship,Mentioned,Computer-assisted research,20,Mentioned in the footnotes on P62
40,Harvard Predictive Analyser,Robert R. Dyer,The New Philology: An Old Discipline or a New Science?,4.1,53-64,1969,Using tools in scholarship,Mentioned,Computer-assisted research,21,Mentioned in the footnotes on P62
41,Berkeley Parser,Robert R. Dyer,The New Philology: An Old Discipline or a New Science?,4.1,53-64,1969,Using tools in scholarship,Mentioned,Computer-assisted research,22,Mentioned in the footnotes on P62
42,STAP,Robert R. Dyer,The New Philology: An Old Discipline or a New Science?,4.1,53-64,1969,Using tools in scholarship,Mentioned,Computer-assisted research,23,Mentioned in the footnotes on P62
43,SNOBOL,Ronald C. Turner,Letter to the Editor,4.1,74,1969,Using tools in scholarship,Instrumental,Computer-assisted research,7,Letter-writer used SNOBOL for text manipulation.
44,FORTRAN,Ronald C. Turner,Letter to the Editor,4.1,74,1969,Using tools in scholarship,Instrumental,Computer-assisted research,9,Letter-writer used FORTRAN for statistical operations.
45,SNOBOL4,n/a,New Courses Established,4.3,172,1970,Using tools in scholarship,Instrumental,Computer-assisted research,7,Describes a Computers in the Humanities course including programming in SNOBOL4 for linguistic and stylistic analysis.
46,FORTRAN IV,Pierre R. Ducretet,Quantitative Stylistics: An Essay in Methodology,4.3,187-191,1970,Using tools in scholarship,Instrumental,Computer-assisted research,9,Details a programmed methodology for quantitative stylistics utilizing FORTRAN
47,ALGOL,Robert S. Wachal,Reviews: Uphill Introduction,4.3,205-207,1970,Using tools in scholarship,Instrumental,Computer-assisted research,18,Review of a book on computational linguistics using ALGOL
48,ALGOL,n/a,Request for Algorithms (appended to Reviews),4.3,219,1970,Using tools in scholarship,Instrumental,Computer-assisted research,18,"Solicitation for ""well-documented algorithms that are potentially useful to others in the humanities"" citing specific desired languages"
49,FORTRAN,n/a,Request for Algorithms (appended to Reviews),4.3,219,1970,Using tools in scholarship,Instrumental,Computer-assisted research,9,"Solicitation for ""well-documented algorithms that are potentially useful to others in the humanities"" citing specific desired languages"
50,PL/I,n/a,Request for Algorithms (appended to Reviews),4.3,219,1970,Using tools in scholarship,Instrumental,Computer-assisted research,5,"Solicitation for ""well-documented algorithms that are potentially useful to others in the humanities"" citing specific desired languages"
51,SNOBOL,n/a,Request for Algorithms (appended to Reviews),4.3,219,1970,Using tools in scholarship,Instrumental,Computer-assisted research,7,"Solicitation for ""well-documented algorithms that are potentially useful to others in the humanities"" citing specific desired languages"
52,SNAP,Michael P. Barnett,SNAP - A Programming Language for Humanists,4.4,225-240,1970,Subject of article,Subject,Tool development,24,Describes the development of SNAP
53,FORTRAN,Michael P. Barnett,SNAP - A Programming Language for Humanists,4.4,225-240,1970,Used within tool,Instrumental,Tool development,9,Describes the development of SNAP
54,FORTRAN,Patricia Köster,Words and Numbers: A Quantitative Approach to Swift and Some Understrappers,4.5,289-304,1970,Using tools in scholarship,Instrumental,Computer-assisted research,9,Proposes and approach to quatitative text analysis programmed in FORTRAN
55,FORTRAN,n/a,New Courses Listed,4.5,318,1970,Using tools in scholarship,Mentioned,Computer-assisted research,9,Describes courses aimed at or relevant to using computers in the humanities
56,SNOBOL4,n/a,New Courses Listed,4.5,318,1970,Using tools in scholarship,Mentioned,Computer-assisted research,7,Describes courses aimed at or relevant to using computers in the humanities
57,FORTRAN,Robert S. Wachal,"The Machine in the Garden: Computers and Literary Scholarship, 1970",5.1,23-28,1970,Using tools in scholarship,Mentioned,Computer-assisted research,9,"P26 gives ""a breakdown of projects by choice of programming language"""
58,PL/I,Robert S. Wachal,"The Machine in the Garden: Computers and Literary Scholarship, 1970",5.1,23-28,1970,Using tools in scholarship,Mentioned,Computer-assisted research,5,"P26 gives ""a breakdown of projects by choice of programming language"""
59,SNOBOL,Robert S. Wachal,"The Machine in the Garden: Computers and Literary Scholarship, 1970",5.1,23-28,1970,Using tools in scholarship,Mentioned,Computer-assisted research,7,"P26 gives ""a breakdown of projects by choice of programming language"""
60,COBOL,Robert S. Wachal,"The Machine in the Garden: Computers and Literary Scholarship, 1970",5.1,23-28,1970,Using tools in scholarship,Mentioned,Computer-assisted research,17,"P26 gives ""a breakdown of projects by choice of programming language"""
61,ALGOL,Robert S. Wachal,"The Machine in the Garden: Computers and Literary Scholarship, 1970",5.1,23-28,1970,Using tools in scholarship,Mentioned,Computer-assisted research,18,"P26 gives ""a breakdown of projects by choice of programming language"""
62,COMIT,Robert S. Wachal,"The Machine in the Garden: Computers and Literary Scholarship, 1970",5.1,23-28,1970,Using tools in scholarship,Mentioned,Computer-assisted research,16,P27 lists languages commonly taught for humanistic research
63,SNAP,Robert S. Wachal,"The Machine in the Garden: Computers and Literary Scholarship, 1970",5.1,23-28,1970,Using tools in scholarship,Mentioned,Computer-assisted research,24,P27 lists languages commonly taught for humanistic research
64,CLAS,George A. Borden; James J. Watts,A Computerized Language Analysis System,5.3,129-141,1971,Subject of article,Subject,Tool development,25,"""a general-purpose computer system that can perform standard statistical tests on natural language texts as well as print a concordance or index of all the words of that text or a specified subset of these words"""
65,PL/I,George A. Borden; James J. Watts,A Computerized Language Analysis System,5.3,129-141,1971,Developing tools for scholarship,Ancestral,Tool development,5,PL/I was used to program CLAS
66,PRORA,Paul A. Fortier,Etat present de I'utilisation des ordinateurs pour I'etude de la litterature francaise,5.3,143-154,1971,Using tools in scholarship,Mentioned,Computer-assisted research,4,"On concording French literature, and the challenges the language presents."
67,ALGOL,Jeffrey F. Raskin,Programming Languages for the Humanities,5.3,155-158,1971,Using tools in scholarship,Mentioned,Computer-assisted research,18,Article details programming langugages of particular use to the humanities
68,COBOL,Jeffrey F. Raskin,Programming Languages for the Humanities,5.3,155-158,1971,Using tools in scholarship,Mentioned,Computer-assisted research,17,Article details programming langugages of particular use to the humanities
69,FORTRAN,Jeffrey F. Raskin,Programming Languages for the Humanities,5.3,155-158,1971,Using tools in scholarship,Mentioned,Computer-assisted research,9,Article details programming langugages of particular use to the humanities
70,PL/I,Jeffrey F. Raskin,Programming Languages for the Humanities,5.3,155-158,1971,Using tools in scholarship,Mentioned,Computer-assisted research,5,Article details programming langugages of particular use to the humanities
71,SNAP,Jeffrey F. Raskin,Programming Languages for the Humanities,5.3,155-158,1971,Using tools in scholarship,Mentioned,Computer-assisted research,24,Article details programming langugages of particular use to the humanities
72,SNOBOL,Jeffrey F. Raskin,Programming Languages for the Humanities,5.3,155-158,1971,Using tools in scholarship,Mentioned,Computer-assisted research,7,Article details programming langugages of particular use to the humanities
73,APL/360,Jeffrey F. Raskin,Programming Languages for the Humanities,5.3,155-158,1971,Using tools in scholarship,Mentioned,Computer-assisted research,26,Article details programming langugages of particular use to the humanities
74,BASIC,Jeffrey F. Raskin,Programming Languages for the Humanities,5.3,155-158,1971,Using tools in scholarship,Mentioned,Computer-assisted research,27,Article details programming langugages of particular use to the humanities
75,General Inquirer,n/a,Abstracts and Brief Notices,5.3,185-192,1971,Using tools in scholarship,Mentioned,Computer-assisted research,8,Briefly describes a modification of the General Inquirer
76,WORDS,n/a,Abstracts and Brief Notices,5.3,185-192,1971,Using tools in scholarship,Mentioned,Computer-assisted research,2,
77,EYEBALL,Donald Ross Jr.; Robert H. Rasche,EYEBALL: A Computer Program for Description of Style,6.4,213-221,1972,Subject of article,Subject,Tool development,28,"Details the EYEBALL system for text and stylistic analysis, including updates on its development"
78,SCAN,P. J. Brown,SCAN: A Simple Conversational Programming Language for Text Analysis,6.4,223-227,1972,Subject of article,Subject,Tool development,29,SCAN was modelled syntactically on BASIC
79,BASIC,P. J. Brown,SCAN: A Simple Conversational Programming Language for Text Analysis,6.4,223-227,1972,Developing tools for scholarship,Model,Tool development,27,SCAN was modelled syntactically on BASIC
80,PL/I,James Joyce,Extensions to PL/I for Natural-Language Processing,6.5,271-276,1972,Developing tools for scholarship,Subject,Tool development,5,"Details why PL/I has been used for natural language processing, its drawbacks, and extensions that improve its value to humanists"
81,RATS,John B. Smith,RATS: A Middle-Level Text Utility System,6.5,277-283,1972,Subject of article,Subject,Tool development,30,Describes a utility for text analysis built in PL/I
82,PL/I,John B. Smith,RATS: A Middle-Level Text Utility System,6.5,277-283,1972,Developing tools for scholarship,Instrumental,Tool development,5,Describes a utility for text analysis built in PL/I
83,TEXTAN,Suzanne Hanon,The Study of English Loan-Words in Modern French,7.6,389-398,1973,Using tools in scholarship,Instrumental,Computer-assisted research; tool development,31,"Article is on locating and studying English loanwords in French, using a tool the author built in ALGOL 4"
84,ALGOL 4,Suzanne Hanon,The Study of English Loan-Words in Modern French,7.6,389-398,1973,Using tools in scholarship,Instrumental,Computer-assisted research; tool development,18,"Article is on locating and studying English loanwords in French, using a tool the author built in ALGOL 4"
85,FORTRAN,Robert J. Dilligan,Introductory FORTRAN Textbooks: An Overview for Humanists,7.6,399-406,1973,Subject of article,Subject,Computer-assisted research,9,Describes humanistic applications of FORTRAN and resources for learning it.
86,SNAP,Robert J. Dilligan,Introductory FORTRAN Textbooks: An Overview for Humanists,7.6,399-406,1973,Using tools in scholarship,Mentioned,Computer-assisted research,24,Describes humanistic applications of FORTRAN and resources for learning it.
87,PL/I,Robert J. Dilligan,Introductory FORTRAN Textbooks: An Overview for Humanists,7.6,399-406,1973,Using tools in scholarship,Mentioned,Computer-assisted research,5,Describes humanistic applications of FORTRAN and resources for learning it.
88,SNOBOL,Robert J. Dilligan,Introductory FORTRAN Textbooks: An Overview for Humanists,7.6,399-406,1973,Using tools in scholarship,Mentioned,Computer-assisted research,7,Describes humanistic applications of FORTRAN and resources for learning it.
89,SNAP,Richard J. W. Housden,Further Thoughts on SNAP,7.6,407-412,1973,Subject of article,Subject,Computer-assisted research,24,"Describes SNAP as it has been used, and in relation to other programming languages."
90,FORTRAN,Richard J. W. Housden,Further Thoughts on SNAP,7.6,407-412,1973,Using tools in scholarship,Similar,Computer-assisted research,9,"Describes SNAP as it has been used, and in relation to other programming languages."
91,ALGOL,Richard J. W. Housden,Further Thoughts on SNAP,7.6,407-412,1973,Using tools in scholarship,Similar,Computer-assisted research,18,"Describes SNAP as it has been used, and in relation to other programming languages."
92,PL/I,Richard J. W. Housden,Further Thoughts on SNAP,7.6,407-412,1973,Using tools in scholarship,Similar,Computer-assisted research,5,"Describes SNAP as it has been used, and in relation to other programming languages."
93,COBOL,Richard J. W. Housden,Further Thoughts on SNAP,7.6,407-412,1973,Using tools in scholarship,Similar,Computer-assisted research,19,"Describes SNAP as it has been used, and in relation to other programming languages."
94,BASIC,Richard J. W. Housden,Further Thoughts on SNAP,7.6,407-412,1973,Using tools in scholarship,Similar,Computer-assisted research,27,"Describes SNAP as it has been used, and in relation to other programming languages."
95,General Inquirer,Ralph Dengler,A General Inquirer Analysis of Sixteenth Century and Contemporary Catechisms,8.1,5-20,1974,Using tools in scholarship,Instrumental,Computer-assisted research,8,Describes research using the General Inquirer
96,WORDS,Howard P. Iker,An Historical Note on the Use of Word-Frequency Contiguities in Content Analysis,8.2,93-98,1974,Using tools in scholarship,Mentioned,Computer-assisted research,2,A response from the creator of WORDS to a paper asserting there were no PCAs extant focusing on word frequencies.
97,General Inquirer,Cora Angier Sowa; John F. Sower,Thought Clusters in Early Greek Oral Poetry,8.3,131-146,1974,Using tools in scholarship,Mentioned,Computer-assisted research,8,Article describes the process of analyzing early Greek oral poetry with a variety of tools.
98,PL/I,Cora Angier Sowa; John F. Sower,Thought Clusters in Early Greek Oral Poetry,8.3,131-146,1974,Using tools in scholarship,Mentioned,Computer-assisted research,5,Article describes the process of analyzing early Greek oral poetry with a variety of tools.
99,FORTRAN,Cora Angier Sowa; John F. Sower,Thought Clusters in Early Greek Oral Poetry,8.3,131-146,1974,Using tools in scholarship,Mentioned,Computer-assisted research,9,Article describes the process of analyzing early Greek oral poetry with a variety of tools.
100,SELECT,Howard P. Iker,SELECT: A Computer Program to Identify Associationally Rich Words for Content Analysis: I. Statistical Results,8.5,313-317,1974,Subject of article,Subject,Tool development,1,"Details the statistical underpinnings of the SELECT program, and its relationship to its predecessor WORDS"
101,WORDS,Howard P. Iker,SELECT: A Computer Program to Identify Associationally Rich Words for Content Analysis: I. Statistical Results,8.5,313-317,1974,Similar tool,Ancestral,Tool development,2,"Details the statistical underpinnings of the SELECT program, and its relationship to its predecessor WORDS"
102,OPCOL,Robert L. Cannon Jr.,OPCOL: An Optimal Text Collation Algorithm,10.1,33-40,1976,Subject of article,Subject,Tool development,32,"Decribes the development of the OPCOL algorithm, including a survey of three related algorithms for text collation."
103,CLAS (Computerized Language Analysis System),Franklin M. Waltman,C.L.A.S. and the Cantar de Mio Cid,10.3,145-152,1976,Using tools in scholarship,Subject,Computer-assisted research,25,Describes the author's use of CLAS in an authorship study on the epic poem Cantar de Mio Cid.
104,EULER,I. T. Parsons,String Manipulation with Extended Euler,10.3,173-179,1976,Using tools in scholarship,Subject,Computer-assisted research,33,"Author describes extended EULER as a means of string manipulation, with reference to its performance in relation to other languages"
105,FORTRAN,I. T. Parsons,String Manipulation with Extended Euler,10.3,173-179,1976,Using tools in scholarship,Similar,Computer-assisted research,9,"Author describes extended EULER as a means of string manipulation, with reference to its performance in relation to other languages"
106,ALGOL,I. T. Parsons,String Manipulation with Extended Euler,10.3,173-179,1976,Using tools in scholarship,Similar,Computer-assisted research,18,"Author describes extended EULER as a means of string manipulation, with reference to its performance in relation to other languages"
107,SNOBOL,I. T. Parsons,String Manipulation with Extended Euler,10.3,173-179,1976,Using tools in scholarship,Similar,Computer-assisted research,7,"Author describes extended EULER as a means of string manipulation, with reference to its performance in relation to other languages"
108,SNAP,I. T. Parsons,String Manipulation with Extended Euler,10.3,173-179,1976,Using tools in scholarship,Similar,Computer-assisted research,24,"Author describes extended EULER as a means of string manipulation, with reference to its performance in relation to other languages"
109,SATO,Jean-Guy Meunier; Stanislas Rolland; Francois Daoust,A System for Text and Content Analysis,10.5,218-286,1976,Subject of article,Subject,Tool development,34,Describes the development and use of the SATO system.
110,General Inquirer,Jean-Guy Meunier; Stanislas Rolland; Francois Daoust,A System for Text and Content Analysis,10.5,218-286,1976,Subject of article,Similar,Tool development,8,Describes the development and use of the SATO system.
111,FISHER,Christine Allwright,Software Review,10.5,297-298,1976,Subject of article,Subject,Tool review,35,"Review of FISHER, described as a string-handling package for FORTRAN"
112,FORTRAN,Christine Allwright,Software Review,10.5,297-298,1976,Subject of article,Instrumental,Tool review,9,"Review of FISHER, described as a string-handling package for FORTRAN"
113,WORDS,Charles D. Cary,Natural Themes in Soviet School History Textbooks,10.6,313-323,1976,Using tools in scholarship,Instrumental,Computer-assisted research,2,A content analysis of Soviet history textbooks using WORDS
114,INQUIRER III,Sandra Rice,Software Review,10.6,332,1976,Subject of article,Subject,Tool review,36,"A review of the Edinburgh Version of INQUIRER III, which is a variant on the General Inquirer written in PL/I"
115,PL/I,Sandra Rice,Software Review,10.6,332,1976,Subject of article,Subject,Tool review,5,"A review of the Edinburgh Version of INQUIRER III, which is a variant on the General Inquirer written in PL/I"
