Index,Author,Title,Publication,Volume,Issue,Year,Pages,Multiple_Tools,DOI,File_Type,Tool_Name,Tool_Type,Organization/Group,University/Institute,Distribution_Method,Article_Purpose,File_Name,Text_File,File_Path,Notes,Problematic,
11,"Olson, Mark",Software Review: Textbase for Humanities Applications: WordCruncher,Computers and the Humanities,21,4,1987,255-260,n/a,n/a,pdf,WordCruncher,concordance,Electronic Text Corporation,Brigham Young University,journal,Review,CHUM v21 n4 p255-260.pdf,CHUM-v21-n4-p255-260.txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool. Renamed and updated version of the Brigham Young University Concordance Program.,-,
12,"Jones, Randall L. ",Software Review: Micro-OCP,Computers and the Humanities,23,2,1989,131-135,*,n/a,pdf,Micro-OCP,concordance; markup; statistics,Oxford University Computing Centre,Oxford University,journal,Review,CHUM v23 n2 p131-167.pdf,CHUM-v23-n2-p131-167(a).txt,JWDTD-TA-Development-Corpus/CHum/keep,Microprocessor edition of the OCP (OCP in turn based on COCOA); includes COCOA functionality.,-,
13,"Olson, Mark",Software Review: TEXTPACK V: Text Analysis Utilities for the Personal Computer,Computers and the Humanities,23,2,1989,155-160,*,n/a,pdf,TEXTPACK V,concordance; frequency; tagging,ZUMA (Zentrum fur Umfragen und Analysen),n/a,journal,Review,CHUM v23 n2 p131-167.pdf,CHUM-v23-n2-p131-167(b).txt,JWDTD-TA-Development-Corpus/CHum/keep,"A collection of interrelated text analysis utilities, ported from FORTRAN to run on PC.",-,
14,"Olson, Mark",Software Review: Talking Back: The INRAC Language Compiler,Computers and the Humanities,23,2,1989,161-167,*,n/a,pdf,INRAC Language Compiler,NLP,"INRAC, Inc.",n/a,journal,Review,CHUM v23 n2 p131-167.pdf,CHUM-v23-n2-p131-167(c).txt,JWDTD-TA-Development-Corpus/CHum/keep,"Early language compiler. Olsen describes it as useful for prototyping natural language interfaces, designing conversational systems & experimental prose & poetry. Much potential, little utility, terrible manual.",*,
15,"Cannon, Robert L.; Oakman, Robert L.",Interactive Collation on a Microcomputer: The URICA! Approach,Computers and the Humanities,23,6,1989,469-472,n/a,n/a,pdf,URICA!,collation; comparator,n/a,University of South Carolina,journal,Present tool and development,CHUM v23 n6 p469-472.pdf,CHUM-v23-n6-p469-472.txt,JWDTD-TA-Development-Corpus/CHum/keep,"Text collation program, designed to take a 'master' text and compare it to another text. Later updated & rereleased it as URICA! II.",-,
16,"Levison, Michael; Lessard, Gregory",A System for Natural Language Sentence Generation,Computers and the Humanities,26,1,1992,43-58,n/a,n/a,pdf,VINCI,NLP,n/a,Queen's University at Kingston,journal,Present tool and development,CHUM v26 n1 p43-58.pdf,CHUM-v26-n1-p43-58.txt,JWDTD-TA-Development-Corpus/CHum/keep,Natural language program capable of both processing and generating text.,-,
17,"Hilton, Michael L. ",The URICA! II Interactive Collation System,Computers and the Humanities,26,2,1992,139-144,n/a,n/a,pdf,URICA! II,collation; tagging; editing,n/a,University of South Carolina,journal,Present tool and development,CHUM v26 n2 p139-144.pdf,CHUM-v26-n2-p139-144.txt,JWDTD-TA-Development-Corpus/CHum/keep,"Update of URICA! text collation program, updated & adapted to Macintosh GUI.",-,
18,"Hinkelman, Elizabeth; Olson, Mark",Technical Reviews: PC-Kimmo: A Computational Linguistic Tool for Humanties Applications,Computers and the Humanities,26,2,1992,157-162,*,n/a,pdf,PC-Kimmo,NLP; morphological parser,Summer Institute for Linguistics,n/a,journal,Review,CHUM v26 n2 p157-168.pdf,CHUM-v26-n2-p157-168(a).txt,JWDTD-TA-Development-Corpus/CHum/keep,"CHum reviewers judged this tool promising, and to be the first computational linguistic tool well-suited to humanities research.",-,
19,"Antworth, Evan L.",Glossing Text with the PC-Kimmo Morphological Parser,Computers and the Humanities,26,5-6,1992,389-398,n/a,n/a,pdf,PC-Kimmo,NLP; morphological parser,Summer Institute for Linguistics,n/a,journal,Present tool and development,CHUM v26 n5-6 p389-398.pdf,CHUM-v26-n5-6-p389-398.txt,JWDTD-TA-Development-Corpus/CHum/keep,"The SIL has persisted to the present, and has maintained this tool.",-,
20,"Smadja, Frank",XTRACT: An Overview,Computers and the Humanities,26,5-6,1992,399-413,n/a,n/a,pdf,XTRACT,collocation; statistics,n/a,Columbia University,journal,Present tool and development,CHUM v26 n5-6 p399-413.pdf,CHUM-v26-n5-6-p399-413.txt,JWDTD-TA-Development-Corpus/CHum/keep,No longer available.,-,
21,"Corre, Alan D. ",Technical Review: Concorder: Concordance Software for the Macintosh,Computers and the Humanities,26,5-6,1992,463-464,n/a,n/a,pdf,Concorder,concordance,CRM (Centre de Recherches Mathematiques),n/a,journal,Review,CHUM v26 n5-6 p463-464.pdf,CHUM-v26-n5-6-p463-464.txt,JWDTD-TA-Development-Corpus/CHum/keep,"This tool was rebuilt in Java in 2008, and is still avaialble today in both the original and Java builds.",-,
22,"Johnson, Eric",Technical Review: Collate: Interactive Collation of Large Textual Traditions,Computers and the Humanities,27,5-7,1993,401-403,*,n/a,pdf,Collate: Interactive Collation of Large Textual Traditions,collation,Oxford University Computing Centre,Oxford University,journal,Review,CHUM v27 n5-6 p401-420.pdf,CHUM-v27-n5-6-p401-420(a).txt,JWDTD-TA-Development-Corpus/CHum/keep,Described as robust and adaptable; tested on Shakespeare texts and suited to multiple languages and scripts.,-,
23,"Francis, Alexander L.",Technical Review: Parser 1.0: An Elementary Parsing Program for the DOS Environment,Computers and the Humanities,27,5-7,1993,406-409,*,n/a,pdf,Parser 1.0,parser,Prospero Software,n/a,journal,Review,CHUM v27 n5-6 p401-420.pdf,CHUM-v27-n5-6-p401-420(b).txt,JWDTD-TA-Development-Corpus/CHum/keep,"Commercial program aimed at academics and other researchers, for analyzing English text.",-,
24,"Ross, Donald; Hunter, David",μ-EYEBALL: An Interactive System for Producing Stylistic Descriptions and Comparisons,Computers and the Humanities,28,1,1994,1-11,n/a,n/a,pdf,μ-EYEBALL,comparator; statistics,n/a,University of Minnesota & Mary Washington College,journal,Present tool and development,CHUM v28 n1 p1-11.pdf,CHUM-v28-n1-p1-11.txt,JWDTD-TA-Development-Corpus/CHum/keep,This is a revision and adaptation of the original EYEBALL mainframe for microprocessor computers. ,-,
25,"Hawthorne, Mark",The Computer in Literary Analysis: Using TACT with Students,Computers and the Humanities,28,1,1994,19-27,n/a,n/a,pdf,TACT,KWIC; collocation; statistics,Centre for Computing in the Humanties,University of Toronto,journal,Applying tool (instruction),CHUM v28 n1 p19-27.pdf,CHUM-v28-n1-p19-27.txt,JWDTD-TA-Development-Corpus/CHum/keep,Suite of five related tools. Has become historically important.,-,
26,"Steinhart, Eric",NETMET: A Program for Generating and Interpreting Metaphors,Computers and the Humanities,28,6,1994,383-392,n/a,n/a,pdf,NETMET,NLP,n/a,SUNY,journal,Present tool and development,CHUM v28 n6 p383-392.pdf,CHUM-v28-n6-p383-392.txt,JWDTD-TA-Development-Corpus/CHum/keep,"This tool has been carried forward by the developer, and can be used via his personal website.",-,
27,"Silberztein, Max",Text Indexation with INTEX,Computers and the Humanities,33,3,1999,268-280,n/a,n/a,pdf,INTEX,NLP; tagging; concordance,Watson Research Center,IBM,journal,Present tool and development,CHUM v33 n3 p268-280.pdf,CHUM-v33-n3-p268-280.txt,JWDTD-TA-Development-Corpus/CHum/keep,Development environment.,*,
28,"Dini, Luca; Di Tomaso, Vittorio; Segond, Frederique ",GINGER II: An Example-Driven Word Sense Disambiguator,Computers and the Humanities,34,1-2,2000,121-126,n/a,n/a,pdf,GINGER II,disambiguation,Xerox Research Centre Europe,Centro per l'Elaborazione del Linguaggio e dell' Informazione,journal,Present tool and development,CHUM v34 n1-2 p121-126.pdf,CHUM-v34-n1-2-p121-126.txt,JWDTD-TA-Development-Corpus/CHum/keep,"Desgined to process a semantically-tagged corpus. Builds on prior version, GINGER I.",-,
29,"Holman, Eugene",FINNMORF: A Computerized Reference Tool for Students of Finnish Morphology,Computers and the Humanities,22,3,1988,165-172,n/a,n/a,pdf,FINNMORF,NLP,n/a,University of Helsinki,journal,Present tool and development,CHUM v22 n3 p165-172.pdf,CHUM-v22-n3-p165-172.txt,JWDTD-TA-Development-Corpus/CHum/keep,"Designed to assist language learning, but has interesting natural language processing implications",-,
30,"Rice, Sandra",Software Review: INQUIRER III (Edinburgh Version) A Computer Based System for Content Analysis Language,Computers and the Humanities,10,26,1976,332,n/a,n/a,pdf,INQUIRER III,content analysis; disambiguation; tagging,n/a,Harvard University,journal,Review,CHUM v10 n6 p332.pdf,CHUM-v10-n6-p332.txt,JWDTD-TA-Development-Corpus/CHum/Ambiguous,This was a Britain-only program. It output on punched cards.,-,
31,"Choueka, Yaacov",Computerized Full-Text Retrieval Systems and Research in the Humanities: The Responsa Project,Computers and the Humanities,14,3,1980,153-169,n/a,n/a,pdf,Responsa Project,full-text retrieval,IRCOL (Institute for Information Retrieval and Computational Linguistics),Weizmann Institute of Science; Bar-Ilan University (Ramat Gan),journal,Present tool and development,CHUM v14 n3 p153-169.pdf,CHUM-v14-n3-p153-169.txt,JWDTD-TA-Development-Corpus/CHum/Ambiguous,Project aids research in Judaica and the humanites in Israel.,-,
32,"Anderson, Peter Bogh",FANGORN: A Special-Purpose Language for the Humanities,Computers and the Humanities,15,4,1981,227-242,n/a,n/a,pdf,FANGORN,NLP,n/a,University of Aarhus,journal,Present tool and development,CHUM v15 n4 p227-242.pdf,CHUM-v15-n4-p227-242.txt,JWDTD-TA-Development-Corpus/CHum/Ambiguous,Programming language designed for linguistic analysis in the humanities.,*,
33,"Buckingham, Willis J.",Software Reviews: Rightwriter,Computers and the Humanities,21,1,1987,69-70,*,n/a,pdf,Rightwriter,NLP,DecisionWare Inc.,n/a,journal,Review,CHUM v21 n1 p69-75.pdf,CHUM-v21-n1-p69-75(a).txt,JWDTD-TA-Development-Corpus/CHum/Ambiguous,"This is a commercial tool designed to catch writing mistakes, passive voice and undesireable language (trite, pompous, redundant, unclear etc. phrasing)",*,
34,"Elslinger, Lyle",Software Review: The PerfectWORD,Computers and the Humanities,23,6,1989,507-513,n/a,n/a,pdf,The PerfectWORD,concordance,Star Software Inc.,n/a,journal,Review,CHUM v23 n6 p507-513.pdf,CHUM-v23-n6-p507-513.txt,JWDTD-TA-Development-Corpus/CHum/Ambiguous,"This is a commercial tool specific to the Bible. It comes bundled with the KJV, Hebrew Bible and Greek New Testament.",*,
35,"Payette, Julie; Hirst, Graeme",An Intelligent Computer-Assistant for Stylistic Instruction,Computers and the Humanities,26,2,1992,87-102,n/a,n/a,pdf,STASEL (Stylistic Treatment at the Sentence Level),NLP,n/a,University of Toronto,journal,Present tool and development,CHUM v26 n2 p87-102.pdf,CHUM-v26-n2-p87-102.txt,JWDTD-TA-Development-Corpus/CHum/Ambiguous,This program is designed to analyse text for the purpose of language and style instruction,*,
36,"Kim, Kyunghwan","Technical Review: Morfogen, Morffile/Morfword, Inflword, Version 2.0",Computers and the Humanities,27,2,1993,133-135,*,n/a,pdf,Morfogen; Morffile; Morfword; Inflword,morphological analysis; stemming,"Executive Communication Systems, Inc.",n/a,journal,Review,CHUM v27 n2 p133-135.pdf,CHUM-v27-n2-p133-135.txt,JWDTD-TA-Development-Corpus/CHum/Ambiguous,These four tools are interrelated. They are offered and discussed as a single package.,*,Issue: How to treat? Separate? Lump?
37,"Nordgard, Torbjorn",E-Parser: An Implementation of a Deterministic GB-Related Parsing System,Computers and the Humanities,28,4-5,1995,259-272,n/a,n/a,pdf,E-Parser,NLP,Department of Linguisitics and Phonetics,University of Bergen,journal,Present tool and development,CHUM v28 n4-5 p259-272.pdf,CHUM-v28-n4-5-p259-272.txt,JWDTD-TA-Development-Corpus/CHum/Ambiguous,Tool is only referred to as 'E-Parser' in the title; it is simply 'a parser' elsewhere.,-,
38,"Kaalep, Heiki-Jaan",An Estonian Morphological Analyser and the Impact of a Corpus on Its Development,Computers and the Humanities,31,2,1997,115-133,n/a,n/a,pdf,ESTMORF,NLP,n/a,University of Tartu,journal,Present tool and development,CHUM v31 n2 p115-133.pdf,CHUM-v31-n2-p115-133.txt,JWDTD-TA-Development-Corpus/CHum/Ambiguous,This tool is designed to work specifically with Estonian texts.,-,
40,"Heller, Jack; Logemann, George W.",PL/I: A Programming Language for Humanities Research,Computers and the Humanities,1,2,1966,19-27,n/a,n/a,pdf,PL/I,string processing,Institute for Computer Research in the Humanities,New York University,journal,Present tool and development,CHUM v1 n2 p19-27.pdf,CHUM-v1-n2-p19-27.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"This is a programming language, rather than a tool, released at a time when programming languages were not typically designed to work with strings of text.",*,
41,n/a,Computer Programs Designed to Solve Humanistic Problems,Computers and the Humanities,1,2,1966,39-55,*,n/a,pdf,n/a,n/a,n/a,n/a,journal,List available tools,CHUM v1 n2 p39-55.pdf,CHUM-v1-n2-p39-55.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,This is an article listing numerous programs with brief descriptions of each.,*,
42,n/a,Additional Programs to Solve Humanistic Problems,Computers and the Humanities,1,3,1966,108,*,n/a,pdf,n/a,n/a,n/a,n/a,journal,List available tools,CHUM v1 n3 p108.pdf,CHUM-v1-n3-p108.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,This is an article listing numerous programs with brief descriptions of each.,*,
43,"Barnett, Michael P.",SNAP - A Programming Language for Humanists,Computers and the Humanities,4,4,1969,225-240,n/a,n/a,pdf,SNAP (Stylized Natural Procedural Language),text processing,n/a,Columbia University,journal,Present tool and development,CHUM v4 n4 p225-240.pdf,CHUM-v4-n4-p225-240.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,This is a programming language for processing texts.,*,
44,"Diller, Timothy; Olney, John",SOLAR (A Semantically Oriented Lexical ARchive): Current Status and Plans,Computers and the Humanities,8,4-5,1974,301-311,n/a,n/a,pdf,SOLAR (A Semantically Oriented Lexical ARchive),semantic analysis; conceptual analysis,System Development Corporation,n/a,journal,Present tool and development,CHUM v8 n4-5 p301-311.pdf,CHUM-v8-n4-5-p301-311.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,This program was originally only available over ARPAnet.,*,
45,"Prerau, David S. ",DO-RE-MI: A Program that Recognizes Musical Notation,Computers and the Humanities,9,1,1975,25-29,n/a,n/a,pdf,DO-RE-MI,character recognition,n/a,n/a,journal,Present tool and development,CHUM v9 n1 p25-29.pdf,CHUM-v9-n1-p25-29.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"It's difficult to discern the organization of origin for this program. It is designed to read, recognize and process printed musical notation.",*,
46,"Cannon Jr., Robert L.",OPCOL: An Optimal Text Collation Algorithm,Computers and the Humanities,10,1,1976,33-40,n/a,n/a,pdf,OPCOL,collation,n/a,University of South Carolina,journal,Present tool and development,CHUM v10 n1 p33-40.pdf,CHUM-v10-n1-p33-40.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,Designed to optimize the efficiency of text collation,-,
47,"Allwright, Christine",Software Review: FISHER: A String-handling Package,Computers and the Humanities,10,5,1976,297-298,n/a,n/a,pdf,FISHER,string processing,n/a,University College London,journal,Review,CHUM v10 n5 p297-298.pdf,CHUM-v10-n5-p297-298.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Built in FORTRAN, using selected subroutines and functions.",*,
48,"Burton, Dolores M.","Automated Concordances and Word Indexes: The Process, the Programs, and the Products",Computers and the Humanities,15,3,1981,139-154,n/a,n/a,pdf,n/a,concordance,n/a,n/a,journal,List available tools,CHUM v15 n3 p139-154.pdf,CHUM-v15-n3-p139-154.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,Discusses concordance and indexing processes and programs.,*,
49,"Kinmonth, Earl H.",bibliofile: Humanizing the UNIX System,Computers and the Humanities,18,2,1984,71-85,n/a,n/a,pdf,bibliofile,"indexing, collation",n/a,"University of California, Davis",journal,Present tool and development,CHUM v18 n2 p71-85.pdf,CHUM-v18-n2-p71-85.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,Designed to work with both UNIX and a database storage structure.,*,
50,"Olsen, Mark",Beyond SNOBOL: The Icon Programming Language,Computers and the Humanities,21,1,1987,61-66,n/a,n/a,pdf,Icon,string processing; pattern matching,n/a,University of Arizona,journal,Present tool and development,CHUM v21 n1 p61-66.pdf,CHUM-v21-n1-p61-66.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,Designed to build on SNOBOL to extend its utility to groups like humanists.,*,
51,"Brown, Malcolm","Software Reviews: ASKSAM, version 2.3",Computers and the Humanities,21,3,1987,203-206,*,n/a,pdf,AskSam (Access Stored Knowledge via Symbolic Access Method),"indexing, search",Seaside Software Inc.,n/a,journal,Review,CHUM v21 n3 p197-208,CHUM-v21-n3-p197-208(a).txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Primarily a record and indexing program, but well suited to managing humanities data.",*,
52,"Prather, Ronald E.; Elliott, R. Stephen",SML: Structured Musical Language,Computers and the Humanities,22,2,1988,137-151,n/a,n/a,pdf,SML (Structured Musical Language),character recognition; music encoding,n/a,"Trinity University; University of Colorado, Boulder",journal,Present tool and development,CHUM v22 n2 p137-151.pdf,CHUM-v22-n2-p137-151.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,Notation systems for music.,*,
53,"Olson, Mark",GOfer: A Memory Resident Rodent,Computers and the Humanities,22,4,1988,307-311,*,n/a,pdf,GOfer,search; collocation,Microlytics,n/a,journal,Review,CHUM v22 n4 p307-323.pdf,CHUM-v22-n4-p307-323(a).txt,JWDTD-TA-Development-Corpus/CHum/Maybe,File management system with some interesting search functions.,*,
54,"Koch, Christian","Software Reviews: HyperTools #1, HyperTools #2, Stack Cleaner",Computers and the Humanities,23,6,1989,493-495,*,n/a,pdf,HyperTools,tool development,Softworks Inc.,n/a,journal,Review,CHUM v23 n6 p493-495.pdf,CHUM-v23-n6-p493-495.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Tools designed to assist in creating HyperCard applications, identified as particularly useful to humanists unaccustomed to programming.",*,
55,"Burnard, Lou",Software Review: IZE version 1,Computers and the Humanities,23,6,1989,501-505,n/a,n/a,pdf,IZE,markup; text linking; search,Softsel House/Persoft,n/a,journal,Review,CHUM v23 n6 p501-505.pdf,CHUM-v23-n6-p501-505.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,This is an early ambitious feature-rich information/text management package.,*,
56,"Marinone, Nino",A Project for Latin Lexicography: 1. Automatic Lemmatization and Word-List,Computers and the Humanities,24,5-6,1990,417-420,n/a,n/a,pdf,Project for Latin Lexicography,"lemmatization, lexicography",Istitutio di Filologica Classica,Universita di Torino,journal,Present tool and development,CHUM v24 n5-6 p417-420.pdf,CHUM-v24-n5-6-p417-420.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Describes a project aiming to automate the lemmatization of and word list creation for Latin texts. Tool is in the planning stages at publication, and not yet named.",-,
57,"Bozzi, Andrea; Cappelli, Giuseppe",A Project for Latin Lexicography: 2. A Latin Morphological Analyzer,Computers and the Humanities,24,5-6,1990,421-426,n/a,n/a,pdf,Project for Latin Lexicography,"morphological analysis, lexicography",Istitutio di Filologica Classica,Universita di Torino,journal,Present tool and development,CHUM v24 n5-6 p421-426.pdf,CHUM-v24-n5-6-p421-426.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Describes a project aiming to automate lemmatization, morphological analysis and word list creation for Latin texts. Tool is in the planning stages at publication, and not yet named.",-,
58,"Cover, Robin C.",Software Review: SQUARENOTE: The Idea Librarian,Computers and the Humanities,25,1,1991,70-73,n/a,n/a,pdf,SQUARENOTE,text processing,UnionSquareware,n/a,journal,Review,CHUM v25 n1 p70-73.pdf,CHUM-v25-n1-p70-73.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Text database with powerful search and keyword management features, compared favourably to HyperCard.",*,
59,"Johnson, Eric",Technical Reviews: Epsilon Programmer's Editor,Computers and the Humanities,26,3,1992,234-236,*,n/a,pdf,Epsilon,text editor; search,Luguru Software Ltd.,n/a,journal,Review,CHUM v26 n3 p234-236.pdf,CHUM-v26-n3-p234-236.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Programmer's text editor. Described as difficult to use. Integrates EEL programming language, based on C.",*,
60,"Johnson, Eric",Technical Reviews: PowerEdit,Computers and the Humanities,26,4,1992,309-311,n/a,n/a,pdf,PowerEdit,text editor; grammar; style,Artificial Linguistics Inc.,n/a,journal,Review,CHUM v26 n4 p309-311.pdf,CHUM-v26-n4-p309-311.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,Text editor designed to identify grammatical and stylistic errors. ,*,
61,"Chen, Si-Qing; Xu, Luomai",A Full and Efficient Machine Tractable Dictionary for Natural Language Processing: A Revised Version of the CUVOALD,Computers and the Humanities,28,4-5,1994,141-152,n/a,n/a,pdf,CUVOALD,NLP; lexicography,n/a,University of Illinois at Urbana-Champagn; Guangzhou Institute of Foreign Languages,journal,Present tool and development,CHUM v28 n4-5 p141-152.pdf,CHUM-v28-n4-5-p141-152.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,Machine-tractable dictionary for use with NLP,-,
62,"Abramson, Robert",REDUX: A System for the Reduction of Cases,Computers and the Humanities,30,1,1996,29-75,n/a,n/a,pdf,REDUX,NLP; case reduction,n/a,American Business Institute,journal,Present tool and development,CHUM v30 n1 p29-75.pdf,CHUM-v30-n1-p29-75.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"NLP system for making generalizations from cases (case studies, legal cases, case histories, etc.).",-,
63,"Havholm, Peter; Stewart, Larry",Computer Modelling and Critical Theory,Computers and the Humanities,30,2,1996,107-115,n/a,n/a,pdf,Linear Modelling Kit,hypertext; text modelling,n/a,College of Wooster,journal,Discuss tool usage,CHUM v30 n2 p107-115.pdf,CHUM-v30-n2-p107-115.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Article discusses the use of computer modelling and critical theory in the classrom to model intertextuality, with the Linear Modelling Kit.",-,
64,"Allen, John Robin",Ten Desiderata for Computer-Assisted Language Learning Programs: The Example of ELSE,Computers and the Humanities,30,6,1997,441-455,n/a,n/a,pdf,ELSE,NLP; language learning; error analysis,n/a,"St. John's College, University of Manitoba; Dartmouth College",journal,Present tool and development,CHUM v30 n6 p441-455.pdf,CHUM-v30-n6-p441-455.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Article discusses the history of ELSE, developed to assist instruction of French and Danish with sophisticated error analysis.",-,
65,"Sinclair, John; Mason, Oliver; Ball, Jackie; Barnbrook, Geoff",Language Independent Statistical Software for Corpus Exploration,Computers and the Humanities,31,3,1998,229-255,*,n/a,pdf,Collocate; Typical,collocation; concordance; statistics,n/a,University of Birmingham,journal,Present tool and development,CHUM v31 n3 p229-255.pdf,CHUM-v31-n3-p229-255.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,"Describes two related tools for corpus exploration, designed to be language-independent.",-,
66,"Rosek, R.; Alexa; M. ",Marking up in TATOE and exporting to SGML: Rule development for identifying NITF categories,Computers and the Humanities,31,4,1998,311-326,n/a,n/a,pdf,TATOE (Text Analysis Tool with Object Encoding),markup; lexicography,Center for Survey Research and Methodology (ZUMA),Integrated Publication and Information Systems Institute,journal,Discuss tool usage,CHUM v31 n4 p311-326.pdf,CHUM-v31-n4-p311-326.txt,JWDTD-TA-Development-Corpus/CHum/Maybe,Describes a method for developing limited-context grammar rules for automated markup.,-,
